quarter,experimental,experimental_se,surrogate_index,surrogate_index_se,naive,naive_se,single_surrogate,single_surrogate_se,upper_experimental,lower_experimental,upper_surrogate_index,lower_surrogate_index,upper_naive,lower_naive
1,0.062003890034059005,0.010594209252404934,0.015472480669610702,0.003378925888455677,0.06316685584563267,0.01379456397889126,0.015472480669610702,0.003378925888455677,0.08277277699163094,0.04123500307648707,0.022096526706781326,0.008848434632440078,0.09020971794896049,0.03612399374230485
2,0.062003890034059005,0.010594209252404934,0.03735714747970364,0.004208969936151321,0.10683336243779387,0.012792720418624986,0.038343332709945624,0.003932392324497833,0.08277277699163094,0.04123500307648707,0.045608411800530775,0.0291058831588765,0.13191221050698146,0.0817545143686063
3,0.062003890034059005,0.010594209252404934,0.05275073261850629,0.005197517258953202,0.1226214399802196,0.012290148068174649,0.04793430992589593,0.004903277228909623,0.08277277699163094,0.04123500307648707,0.06293994503062887,0.042561520206383714,0.14671504525442133,0.09852783470601786
4,0.062003890034059005,0.010594209252404934,0.05793122425115874,0.005774203969889735,0.12593125163713073,0.012049017381525596,0.04446517766368982,0.005248472462967684,0.08277277699163094,0.04123500307648707,0.06925097324454206,0.046611475257775425,0.14955214433281896,0.10231035894144248
5,0.062003890034059005,0.010594209252404934,0.07154356231747754,0.006399218984705232,0.1324521978648861,0.011835827684094458,0.056438819637548036,0.00574313452851624,0.08277277699163094,0.04123500307648707,0.08408859069511895,0.05899853393983611,0.15565515349505327,0.10924924223471894
6,0.062003890034059005,0.010594209252404934,0.07482348319334549,0.006937833011369337,0.13323601549224254,0.011693651618846444,0.05263676304460628,0.006222743685563087,0.08277277699163094,0.04123500307648707,0.08842441046509363,0.06122255592159736,0.15616024917565016,0.11031178180883491
7,0.062003890034059005,0.010594209252404934,0.07481417570655868,0.007236142887988248,0.13046488323583072,0.011597671757984875,0.04449931389703113,0.006352905189011402,0.08277277699163094,0.04123500307648707,0.08899990963619107,0.06062844177692629,0.15320095800780426,0.10772880846385718
8,0.062003890034059005,0.010594209252404934,0.07634267528706161,0.007530982011140073,0.12757028726098477,0.011501910681268946,0.042874019643108344,0.006466629518573927,0.08277277699163094,0.04123500307648707,0.0911064118097634,0.061578938764359825,0.15011863202594555,0.10502194249602398
9,0.062003890034059005,0.010594209252404934,0.08004170190314822,0.00782740026846555,0.1263116428007433,0.011429009427857035,0.0485884892793871,0.006748174416287122,0.08277277699163094,0.04123500307648707,0.09538653675342512,0.06469686705287131,0.14871707195443906,0.10390621364704757
10,0.062003890034059005,0.010594209252404934,0.07826802390120786,0.008095939382440447,0.1231507032007787,0.011384562216331868,0.04158567575398411,0.007045618333325272,0.08277277699163094,0.04123500307648707,0.09413930280870075,0.062396744993714975,0.1454689980446121,0.10083240835694529
11,0.062003890034059005,0.010594209252404934,0.07992179514366828,0.00833569092238792,0.12089230438017823,0.011348296391600622,0.044845588043918715,0.007288038916478151,0.08277277699163094,0.04123500307648707,0.09626308295059294,0.06358050733674361,0.14313950370415532,0.09864510505620114
12,0.062003890034059005,0.010594209252404934,0.0788592998213943,0.008599764762703369,0.11774389484764602,0.011290923937886763,0.039000590129788244,0.007448844283201963,0.08277277699163094,0.04123500307648707,0.0957182779634158,0.06200032167937279,0.1398786212180243,0.09560916847726773
13,0.062003890034059005,0.010594209252404934,0.07810791767687814,0.008854451680726787,0.11484360972142182,0.011232659598976593,0.03882995439296363,0.0076710090335663445,0.08277277699163094,0.04123500307648707,0.09546618403229791,0.06074965132145836,0.13686411468653495,0.0928231047563087
14,0.062003890034059005,0.010594209252404934,0.07863643337735117,0.009044596038196961,0.11229372111018672,0.011193041806455176,0.03882626081700971,0.007779869980223859,0.08277277699163094,0.04123500307648707,0.09636745871570511,0.06090540803899723,0.13423655935806003,0.09035088286231341
15,0.062003890034059005,0.010594209252404934,0.07876761253108983,0.009125817362058315,0.10992360216331844,0.011157166620280188,0.03737997566510544,0.007669856483312,0.08277277699163094,0.04123500307648707,0.09665786414614184,0.060877360916037807,0.1317961106991294,0.0880510936275075
16,0.062003890034059005,0.010594209252404934,0.07122721391866495,0.009343129333128098,0.10543846317559098,0.011116525753371949,0.019431204958099326,0.007942986090061102,0.08277277699163094,0.04123500307648707,0.08954348390414428,0.052910943933185614,0.12723129935921731,0.08364562699196465
17,0.062003890034059005,0.010594209252404934,0.07493295161398922,0.009474236452180143,0.10340008698151316,0.011074917131367726,0.03567072285665934,0.007907666844771873,0.08277277699163094,0.04123500307648707,0.09350624398500494,0.056359659242973495,0.1251113536259434,0.08168882033708295
18,0.062003890034059005,0.010594209252404934,0.07650421539399886,0.009637112266340946,0.10156891172395809,0.011030253915979109,0.03626693603428125,0.00806184139032242,0.08277277699163094,0.04123500307648707,0.0953968094978608,0.05761162129013693,0.1231926206045696,0.07994520284334657
19,0.062003890034059005,0.010594209252404934,0.0746119255051877,0.009752627654428997,0.09912359235175304,0.011000336879161689,0.028492571485244287,0.008117886081237839,0.08277277699163094,0.04123500307648707,0.09373097596647115,0.05549287504390427,0.12068865187581862,0.07755853282768746
20,0.062003890034059005,0.010594209252404934,0.0769187017211063,0.009873742031597478,0.09753847233429379,0.010948253311329833,0.0347659032219866,0.008031417081236782,0.08277277699163094,0.04123500307648707,0.09627518479754957,0.05756221864466305,0.1190014272362139,0.07607551743237367
21,0.062003890034059005,0.010594209252404934,0.07407822041919779,0.009968811575930684,0.09530685605256461,0.010909355965116194,0.026648272718307157,0.00821230590832892,0.08277277699163094,0.04123500307648707,0.0936210778226269,0.05453536301576868,0.11669355660012815,0.07392015550500108
22,0.062003890034059005,0.010594209252404934,0.07292260044814404,0.010031873463021194,0.09305957958273561,0.010877983012226323,0.02411452198128365,0.008219592224376574,0.08277277699163094,0.04123500307648707,0.09258908436990124,0.05325611652638685,0.11438477659600309,0.07173438256946814
