quarter,experimental,experimental_se,surrogate_index,upper_experimental,lower_experimental
6,0.13323601549224254,0.011693651618846444,0.13323601478053018,0.15616024917565016,0.11031178180883491
7,0.13046488323583072,0.011597671757984875,0.13047179960736816,0.15320095800780426,0.10772880846385718
8,0.12757028726098477,0.011501910681268946,0.12657195369101268,0.15011863202594555,0.10502194249602398
9,0.1263116428007433,0.011429009427857035,0.12286497390085094,0.14871707195443906,0.10390621364704757
10,0.1231507032007787,0.011384562216331868,0.11952090181525588,0.1454689980446121,0.10083240835694529
11,0.12089230438017823,0.011348296391600622,0.11641146746142976,0.14313950370415532,0.09864510505620114
12,0.11774389484764602,0.011290923937886763,0.11321037287237906,0.1398786212180243,0.09560916847726773
13,0.11484360972142182,0.011232659598976593,0.1103879192924228,0.13686411468653495,0.0928231047563087
14,0.11229372111018672,0.011193041806455176,0.10767541926561995,0.13423655935806003,0.09035088286231341
15,0.10992360216331844,0.011157166620280188,0.10519240304846515,0.1317961106991294,0.0880510936275075
16,0.10543846317559098,0.011116525753371949,0.10303196635560517,0.12723129935921731,0.08364562699196465
17,0.10340008698151316,0.011074917131367726,0.10090642278012509,0.1251113536259434,0.08168882033708295
18,0.10156891172395809,0.011030253915979109,0.09889375081011065,0.1231926206045696,0.07994520284334657
19,0.09912359235175304,0.011000336879161689,0.09705656922447846,0.12068865187581862,0.07755853282768746
20,0.09753847233429379,0.010948253311329833,0.09522386072207138,0.1190014272362139,0.07607551743237367
21,0.09530685605256461,0.010909355965116194,0.09361746789671414,0.11669355660012815,0.07392015550500108
22,0.09305957958273561,0.010877983012226323,0.09201434508974987,0.11438477659600309,0.07173438256946814
23,0.09148903441372376,0.010854652980067,0.0906091593846632,0.1127684952338418,0.07020957359360572
24,0.08963035519624088,0.01082252654356498,0.08915078658239375,0.11084683535285082,0.06841387503963094
25,0.0876169561992422,0.010799002492141312,0.0877227901652466,0.10878731980735266,0.06644659259113174
26,0.08456937676997392,0.01076795829404159,0.0863648818704362,0.10567888133465221,0.06345987220529563
27,0.0816936208200982,0.010732005302316088,0.08487146386729338,0.10273264314271921,0.060654598497477195
28,0.07878908826896545,0.01070785753001354,0.08358294993105893,0.0997807713007267,0.05779740523720421
29,0.0763188080487757,0.010692409530126777,0.0824392212817143,0.09728020682281417,0.055357409274737215
30,0.07365086254378328,0.010671803104675947,0.08106364024747227,0.09457186448304235,0.05272986060452421
31,0.07187273737632324,0.01065162870047397,0.07982862402027555,0.09275418941522404,0.05099128533742244
32,0.06954509735440594,0.01063773216885372,0.07875051596871888,0.09039930663384757,0.0486908880749643
33,0.06756086860713852,0.010622995004420812,0.07765818362467186,0.08838618715062337,0.046735550063653666
34,0.06526520069091572,0.010612543612816928,0.07670927485888074,0.08607003032714955,0.044460371054681896
35,0.06388825185528624,0.010602754067071247,0.07577057805091206,0.08467389006683569,0.043102613643736784
36,0.062003890034059005,0.010594209252404934,0.07482348319334549,0.08277277699163094,0.04123500307648707
